cycle,exp_prices,exp_qtities,cycle2,acc_prices,acc_qtities
0,,,0,,
1,,,1,,
2,,,2,,
3,,,3,,
4,,,4,,
5,,,5,,
6,,,6,,
7,,,7,,
8,,,8,,
9,,,9,,
10,97.09|101.97,3|1,10,97.09|101.97,3|1
11,,,11,,
12,87.22,6,12,87.22,6
13,,,13,,
14,,,14,,
15,,,15,,
16,87.22|100.41,4|24,16,87.22|100.41,4|24
17,,,17,,
18,86.45|100.41,8|52,18,86.45|100.41,8|52
19,,,19,,
20,91.09,4,20,91.09,4
21,,,21,,
22,,,22,,
23,,,23,,
24,,,24,,
25,,,25,,
26,91.09,7,26,91.09,7
27,,,27,,
28,91.09,7,28,91.09,7
29,91.09|92.57,2|7,29,91.09|92.57,2|7
30,92.57,7,30,92.57,7
31,92.57,57,31,92.57,57
32,92.57,7,32,92.57,7
33,,,33,,
34,92.57|95.46|95.85|100.41|100.68,1|63|4|11|2,34,92.57|95.46|95.85|100.41|100.68,1|63|4|11|2
35,,,35,,
36,,,36,,
37,101.97,10,37,101.97,10
38,,,38,,
39,100.27|101.97,1|76,39,100.27|101.97,1|76
40,,,40,,
41,,,41,,
42,,,42,,
43,101.97|103.71|104.79,5|4|1,43,101.97|103.71|104.79,5|4|1
44,,,44,,
45,,,45,,
46,103.31|104.79,9|1,46,103.31|104.79,9|1
47,,,47,,
48,,,48,,
49,,,49,,
50,,,50,,
51,,,51,,
52,91.06,2,52,91.06,2
53,,,53,,
54,,,54,,
55,91.06|93.5|104.29|104.79,68|6|9|6,55,91.06|93.5|104.29|104.79,68|6|9|6
56,,,56,,
57,,,57,,
58,99.99,8,58,99.99,8
59,104.79|104.84,19|19,59,104.79|104.84,19|19
60,,,60,,
61,,,61,,
62,,,62,,
63,,,63,,
64,,,64,,
65,,,65,,
66,,,66,,
67,,,67,,
68,88.51|94.62,4|10,68,88.51|94.62,4|10
69,,,69,,
70,,,70,,
71,,,71,,
72,84.49|85.32,4|1,72,84.49|85.32,4|1
73,85.32,4,73,85.32,4
74,100.87,2,74,100.87,2
75,,,75,,
76,,,76,,
77,,,77,,
78,,,78,,
79,89.21|97.45,2|6,79,89.21|97.45,2|6
80,,,80,,
81,,,81,,
82,,,82,,
83,90.3,10,83,90.3,10
84,,,84,,
85,90.3,5,85,90.3,5
86,,,86,,
87,,,87,,
88,81.17,10,88,81.17,10
89,,,89,,
90,81.17|90.3,27|45,90,81.17|90.3,27|45
91,,,91,,
92,87.56,2,92,87.56,2
93,87.56,10,93,87.56,10
94,,,94,,
95,87.56,8,95,87.56,8
96,,,96,,
97,,,97,,
98,,,98,,
99,,,99,,
100,87.56,16,100,87.56,16
101,,,101,,
102,,,102,,
103,87.56,3,103,87.56,3
104,87.56|90.3,37|29,104,87.56|90.3,37|29
105,,,105,,
106,90.3|90.44,8|46,106,90.3|90.44,8|46
107,,,107,,
108,84.99,77,108,84.99,77
109,,,109,,
110,,,110,,
111,84.99,7,111,84.99,7
112,,,112,,
113,,,113,,
114,84.99|90.44,8|1,114,84.99|90.44,8|1
115,,,115,,
116,90.44,7,116,90.44,7
117,90.44|92.21|92.65,45|5|15,117,90.44|92.21|92.65,45|5|15
118,,,118,,
119,,,119,,
120,93.1,2,120,93.1,2
121,93.1|93.49|94.29,4|7|6,121,93.1|93.49|94.29,4|7|6
122,94.29,10,122,94.29,10
123,,,123,,
124,,,124,,
125,,,125,,
126,,,126,,
127,,,127,,
128,86.38|94.29,6|1,128,86.38|94.29,6|1
129,94.29,11,129,94.29,11
130,,,130,,
131,,,131,,
132,94.29,4,132,94.29,4
133,94.29,8,133,94.29,8
134,,,134,,
135,91.11,7,135,91.11,7
136,,,136,,
137,,,137,,
138,,,138,,
139,91.11,5,139,91.11,5
140,,,140,,
141,91.11,2,141,91.11,2
142,,,142,,
143,,,143,,
144,,,144,,
145,91.11,7,145,91.11,7
146,,,146,,
147,,,147,,
148,91.11,24,148,91.11,24
149,91.11,20,149,91.11,20
150,91.11,2,150,91.11,2
151,,,151,,
152,91.11|93.99,23|3,152,91.11|93.99,23|3
153,,,153,,
154,,,154,,
155,,,155,,
156,,,156,,
157,93.99|94.29,6|30,157,93.99|94.29,6|30
158,94.29,9,158,94.29,9
159,,,159,,
160,,,160,,
161,89.13,30,161,89.13,30
162,,,162,,
163,,,163,,
164,89.13,9,164,89.13,9
165,89.13,10,165,89.13,10
166,,,166,,
167,89.13,5,167,89.13,5
168,,,168,,
169,,,169,,
170,,,170,,
171,89.13|92.15|94.29|95.07,3|2|14|59,171,89.13|92.15|94.29|95.07,3|2|14|59
172,,,172,,
173,,,173,,
174,,,174,,
175,,,175,,
176,89.98|95.07|95.92,5|16|64,176,89.98|95.07|95.92,5|16|64
177,,,177,,
178,,,178,,
179,,,179,,
180,,,180,,
181,,,181,,
182,,,182,,
183,,,183,,
184,79.26|95.92|96.05,1|2|29,184,79.26|95.92|96.05,1|2|29
185,96.05|96.12,8|14,185,96.05|96.12,8|14
186,,,186,,
187,,,187,,
188,,,188,,
189,,,189,,
190,,,190,,
191,,,191,,
192,,,192,,
193,,,193,,
194,,,194,,
195,96.12,9,195,96.12,9
196,,,196,,
197,,,197,,
198,96.12,10,198,96.12,10
199,96.12|96.25,2|3,199,96.12|96.25,2|3
200,,,200,,
201,,,201,,
202,,,202,,
203,87.87,8,203,87.87,8
204,,,204,,
205,,,205,,
206,,,206,,
207,,,207,,
208,87.87|87.98|89.38,55|2|5,208,87.87|87.98|89.38,55|2|5
209,89.38,4,209,89.38,4
210,89.38,2,210,89.38,2
211,89.38|94.76,57|40,211,89.38|94.76,57|40
212,,,212,,
213,,,213,94.76|96.42|96.94,31|7|51
214,94.76|96.42|96.94,31|7|51,214,,
215,,,215,90.71,1
216,90.71,1,216,,
217,,,217,,
218,,,218,,
219,,,219,90.71,1
220,90.71,1,220,,
221,,,221,,
222,,,222,,
223,,,223,83.19|90.71,49|4
224,83.19|90.71,49|4,224,96.94|97.15,22|51
225,96.94|97.15,22|51,225,97.15|97.25,18|3
226,97.15|97.25,18|3,226,97.25|97.72|98.52,2|1|7
227,97.25|97.72|98.52,2|1|7,227,,
228,,,228,98.52,8
229,98.52,8,229,,
230,,,230,,
231,,,231,,
232,,,232,,
233,,,233,,
234,,,234,,
235,,,235,91.38|91.73|98.52|98.56|98.77,2|1|40|1|26
236,91.38|91.73|98.52|98.56|98.77,2|1|40|1|26,236,,
237,,,237,,
238,,,238,,
239,98.77,6,239,98.77,6
240,,,240,,
241,98.77,6,241,98.77,6
242,,,242,,
243,98.77,8,243,98.77,8
244,,,244,,
245,98.77|98.77|99.28,12|46|11,245,98.77|98.77|99.28,12|46|11
246,,,246,,
247,,,247,,
248,,,248,,
249,93.38|99.28|99.45|99.58,1|24|6|6,249,93.38|99.28|99.45|99.58,1|24|6|6
250,,,250,,
251,,,251,99.58|99.69|99.76,75|5|19
252,99.58|99.69|99.76,75|5|19,252,,
253,,,253,,
254,99.76,9,254,99.76,9
255,,,255,,
256,,,256,,
257,,,257,,
258,,,258,,
259,,,259,,
260,,,260,,
261,99.76,4,261,99.76,4
262,,,262,,
263,99.76,8,263,99.76,8
264,,,264,,
265,99.76,8,265,99.76,8
266,,,266,,
267,,,267,,
268,,,268,,
269,,,269,,
270,,,270,,
271,99.09|99.76,2|6,271,99.09|99.76,2|6
272,,,272,,
273,99.76|100.11|100.87,43|2|4,273,99.76|100.11|100.87,43|2|4
274,,,274,,
275,100.87|100.9|101.27,1|1|3,275,100.87|100.9|101.27,1|1|3
276,,,276,,
277,,,277,,
278,90.73|95.49,2|3,278,90.73|95.49,2|3
279,101.27,3,279,101.27,3
280,,,280,,
281,95.18,3,281,95.18,3
282,,,282,,
283,,,283,,
284,85.08,6,284,85.08,6
285,,,285,,
286,,,286,,
287,,,287,75.77|85.08,6|3
288,75.77|85.08,6|3,288,,
289,,,289,,
290,85.08,1,290,85.08,1
291,,,291,,
292,,,292,,
293,,,293,,
294,,,294,,
295,80.89,5,295,80.89,5
296,,,296,,
297,80.89,3,297,80.89,3
298,,,298,,
299,,,299,,
300,80.89,36,300,80.89,36
301,,,301,,
302,80.89,1,302,80.89,1
303,80.89,20,303,80.89,20
304,90.65,10,304,90.65,10
305,,,305,,
306,90.65,5,306,90.65,5
307,,,307,,
308,90.65,16,308,90.65,16
309,,,309,,
310,88.04,5,310,88.04,5
311,88.04|95.18,26|46,311,88.04|95.18,26|46
312,,,312,,
313,,,313,,
314,,,314,,
315,,,315,,
316,,,316,,
317,,,317,,
318,,,318,,
319,,,319,88.91,2
320,88.91,2,320,,
321,88.91,4,321,88.91,4
322,89.66|93.02,7|25,322,89.66|93.02|96.43,7|59|34
323,93.02|96.43,34|61,323,96.43|97.07,27|5
324,97.07,6,324,97.07|99,1|4
325,99,5,325,,
326,,,326,,
327,,,327,,
328,,,328,,
329,,,329,,
330,,,330,97.32|99,2|2
331,97.32|99,2|2,331,99,3
332,99,3,332,,
333,,,333,,
334,,,334,,
335,,,335,,
336,,,336,,
337,,,337,,
338,,,338,,
339,,,339,,
340,,,340,85.55|99,6|1
341,85.55|99,6|1,341,,
342,,,342,,
343,,,343,99,10
344,99,9,344,100.51|100.72|101.27|101.28,4|11|1|1
345,100.51|100.72|101.27|101.28,4|11|1|1,345,,
346,,,346,,
347,,,347,,
348,,,348,,
349,88.12,6,349,88.12,6
350,,,350,,
351,,,351,,
352,,,352,,
353,,,353,,
354,,,354,99.67|101.28,10|31
355,99.67|101.25|101.28,10|9|22,355,,
356,,,356,,
357,,,357,,
358,,,358,,
359,101.28|101.54|101.68|101.75,61|9|6|13,359,101.25|101.28|101.54|101.68|101.75,9|52|9|6|13
360,,,360,,
361,101.75,5,361,101.75,5
362,,,362,,
363,101.75,1,363,101.75,1
364,,,364,,
365,,,365,,
366,,,366,,
367,,,367,,
368,,,368,,
369,,,369,,
370,101.75|102.28|102.5|102.6|102.67|102.96|103.1|103.22|103.62,20|6|5|5|22|5|15|1|6,370,101.75|102.28|102.5|102.6|102.67|102.96|103.1|103.22|103.62,20|6|5|5|22|5|15|1|6
371,103.62|103.78|104.08,4|1|2,371,103.62|103.78|104.08,4|1|2
372,104.08|104.12|104.12|104.14,4|28|6|53,372,104.08|104.12|104.12|104.14,4|28|6|53
373,,,373,,
374,,,374,,
375,,,375,,
376,,,376,,
377,,,377,,
378,102.54|104.14,4|4,378,102.54|104.14,4|4
379,,,379,,
380,104.14|104.25,2|4,380,104.14|104.25,2|4
381,104.25|104.27,27|38,381,104.25|104.27,27|38
382,,,382,,
383,,,383,,
384,,,384,,
385,,,385,,
386,,,386,,
387,,,387,,
388,,,388,84.5,1
389,84.5,1,389,,
390,,,390,,
391,,,391,,
392,84.5|87.55,6|30,392,84.5|87.55,6|30
393,87.55,13,393,87.55,13
394,87.55,5,394,87.55,5
395,,,395,,
396,,,396,,
397,83.09,4,397,83.09,4
398,83.09|87.55,23|18,398,83.09|87.55,23|18
399,87.55|90.51,5|41,399,87.55|90.51,5|41
400,,,400,,
401,90.51|90.52,32|35,401,90.51|90.52,32|35
402,,,402,,
403,,,403,,
404,,,404,,
405,84.69|90.52,4|58,405,84.69|90.52,4|58
406,90.52|91.66|92.37,3|27|14,406,90.52|91.66|92.37,3|27|14
407,92.37,46,407,92.37,46
408,99.04,9,408,99.04,9
409,,,409,,
410,104.27,5,410,104.27,5
411,,,411,,
412,,,412,,
413,95.74|104.27|104.58|104.63|104.67|104.72,5|27|9|5|14|1,413,95.74|104.27|104.58|104.63|104.67|104.72,5|27|9|5|14|1
414,,,414,,
415,98.3,14,415,,
416,,,416,,
417,,,417,87.37,2
418,87.37,2,418,87.37|89.52,5|9
419,87.37,1,419,89.52,1
420,,,420,,
421,87.37,3,421,,
422,,,422,92.13|92.38,1|2
423,87.37|89.52,1|6,423,92.38,7
424,89.52|92.13|92.38,4|1|66,424,92.38,57
425,,,425,,
426,,,426,,
427,,,427,,
428,98.3,29,428,98.3,29
429,,,429,,
430,98.3,8,430,98.3,8
431,98.3,1,431,98.3,1
432,,,432,,
433,98.3|100.56,2|4,433,98.3,6
434,,,434,,
435,,,435,,
436,,,436,,
437,96.33|100.56,7|2,437,96.33|98.3,7|2
438,100.56|100.67|102.85|104.7|104.72|104.84|105.05,1|4|5|5|6|66|7,438,98.3|100.56|100.67|102.85|104.7|104.72|104.84,8|7|4|5|5|6|59
439,,,439,,
440,,,440,,
441,72.95,6,441,72.95,6
442,72.95,26,442,72.95,26
443,72.95,55,443,72.95,55
444,,,444,,
445,72.95,7,445,72.95,7
446,,,446,,
447,,,447,,
448,,,448,,
449,,,449,,
450,,,450,,
451,87.58|95.19|105.05,43|8|3,451,87.58|95.19|104.84,43|8|3
452,,,452,,
453,,,453,,
454,96.48,8,454,96.48,8
455,96.48,3,455,96.48,3
456,96.48,40,456,96.48,40
457,,,457,,
458,,,458,,
459,,,459,,
460,105.05|105.19|105.32|105.47,23|2|7|53,460,104.84|105.05|105.19|105.32|105.47,4|33|2|7|39
461,,,461,,
462,105.47|105.93|106.1,31|2|17,462,105.47|105.93|106.1,45|2|3
463,,,463,,
464,86.16,7,464,86.16,7
465,,,465,,
466,,,466,,
467,,,467,,
468,86.16,1,468,86.16,1
469,86.16,4,469,86.16,4
470,,,470,,
471,,,471,,
472,84.23,2,472,84.23,2
473,,,473,,
474,84.23,4,474,84.23,4
475,,,475,,
476,84.23|86.16,2|65,476,84.23|86.16,2|65
477,,,477,,
478,,,478,,
479,,,479,,
480,,,480,,
481,,,481,,
482,,,482,86.16,8
483,86.16,8,483,,
484,,,484,,
485,,,485,86.16|95.57,2|7
486,86.16|95.57,2|7,486,,
487,,,487,91.91,6
488,91.91,6,488,,
489,,,489,,
490,,,490,91.91,5
491,91.91,5,491,,
492,,,492,90.37|95.57|95.91,10|1|36
493,90.37|95.57|95.91,10|1|36,493,95.91|96.51,23|39
494,95.91|96.51,23|39,494,96.51,1
495,96.51,1,495,96.51|98.71|98.72|99.18|102.23,12|23|7|42|3
496,96.51|98.71|98.72|99.18|101.96,12|23|7|42|3,496,,
497,,,497,,
498,,,498,86.66,7
499,86.66,7,499,86.66,7
500,86.66,7,500,,
501,,,501,,
502,,,502,86.66|92.21,1|7
503,86.66|92.21,1|7,503,97.8,19
504,97.8,19,504,97.8,3
505,97.8,3,505,,
506,,,506,,
507,,,507,97.8,7
508,97.8,7,508,97.8,5
509,97.8,5,509,97.8|99.44|100.93|102.23|102.69,10|6|4|4|45
510,97.8|99.44|100.93|101.96|102.23|102.69,10|6|4|5|7|37,510,,
511,,,511,,
512,,,512,,
513,102.69|106.1,13|30,513,101.96|102.69|106.1,8|5|30
514,,,514,,
515,,,515,90.53,30
516,90.53,30,516,,
517,,,517,,
518,,,518,,
519,90.53,10,519,90.53,10
520,90.53,37,520,90.53,37
521,,,521,,
522,,,522,,
523,100.5,2,523,100.5,2
524,,,524,,
525,,,525,,
526,,,526,,
527,,,527,,
528,,,528,,
529,,,529,,
530,,,530,,
531,,,531,,
532,,,532,,
533,,,533,,
534,,,534,,
535,,,535,,
536,91.62,4,536,91.62,4
537,91.62|93.63|93.82|94.39|95.57,39|15|2|7|4,537,91.62|93.63|93.82|94.39|95.57,39|15|2|7|4
538,95.57,8,538,95.57,8
539,95.57,10,539,95.57,10
540,95.57,51,540,95.57,51
541,95.57,9,541,95.57,9
542,95.57,13,542,95.57,13
543,,,543,,
544,87.67,8,544,87.67,8
545,99.83|100.5,1|28,545,99.83|100.5,1|28
546,,,546,,
547,,,547,,
548,,,548,,
549,,,549,,
550,,,550,,
551,,,551,95.41,7
552,95.41,7,552,,
553,95.41|98.05,2|3,553,95.41|98.05,2|3
554,,,554,,
555,,,555,,
556,,,556,,
557,98.05,2,557,98.05,2
558,,,558,,
559,98.05,9,559,98.05,9
560,,,560,,
561,98.05,3,561,98.05,3
562,,,562,,
563,,,563,,
564,,,564,,
565,79.45|98.05|98.19,8|55|20,565,79.45|98.05|98.19,8|55|20
566,,,566,,
567,,,567,,
568,,,568,,
569,,,569,,
570,,,570,,
571,,,571,,
572,,,572,,
573,,,573,,
574,,,574,,
575,80.26|90.33|98.19|99.83|100.04|100.76|103.77|103.79,5|7|8|27|4|1|25|2,575,,
576,,,576,,
577,,,577,80.26|90.33|98.19|99.83|100.04|100.76|103.77|103.79,5|7|8|27|4|1|25|2
578,,,578,,
579,,,579,,
580,,,580,,
581,,,581,,
582,,,582,,
583,101.22,8,583,101.22,8
584,,,584,,
585,,,585,,
586,,,586,,
587,,,587,,
588,,,588,,
589,93.19,3,589,93.19,3
590,,,590,,
591,,,591,,
592,93.19|98.34|103.79,2|6|82,592,93.19|98.34|103.79,2|6|82
593,,,593,,
594,,,594,,
595,,,595,,
596,94.52,63,596,94.52,63
597,,,597,,
598,,,598,,
599,,,599,,
600,,,600,,
601,76.73,2,601,76.73,2
602,,,602,,
603,76.73,2,603,76.73,2
604,,,604,,
605,,,605,,
606,,,606,,
607,81.61,7,607,81.61,18
608,81.61,11,608,94.52,7
609,,,609,,
610,,,610,,
611,,,611,,
612,94.52|102.06|103.79|104.18|104.54|104.61|104.98,22|3|4|6|53|3|3,612,94.52|102.06|103.79|104.18|104.54|104.61|104.98,15|3|4|6|53|3|10
613,,,613,,
614,,,614,,
615,99.48|104.98,1|5,615,99.48|104.98,1|5
616,,,616,,
617,104.98,1,617,104.98,1
618,,,618,,
619,,,619,,
620,,,620,,
621,,,621,,
622,,,622,,
623,83.66,4,623,83.66,4
624,,,624,,
625,83.66|98.73,6|2,625,83.66|98.73,6|2
626,,,626,,
627,,,627,,
628,86.81,9,628,86.81,9
629,,,629,,
630,,,630,,
631,,,631,,
632,,,632,,
633,91.21,4,633,91.21,4
634,91.21,1,634,91.21,1
635,,,635,,
636,,,636,,
637,,,637,,
638,,,638,,
639,,,639,,
640,,,640,,
641,,,641,,
642,91.21|91.84|92.5|93.49|97.95,47|8|2|10|6,642,91.21|91.84|92.5|93.49|97.95,47|8|2|10|6
643,97.95,3,643,97.95,3
644,,,644,,
645,,,645,,
646,,,646,,
647,,,647,,
648,,,648,,
649,98.11,35,649,98.11,35
650,,,650,,
651,,,651,,
652,,,652,,
653,,,653,,
654,,,654,,
655,,,655,,
656,,,656,,
657,,,657,,
658,,,658,,
659,,,659,,
660,,,660,,
661,,,661,,
662,96.95,76,662,96.95,76
663,96.95|98.11,7|2,663,96.95|98.11,7|2
664,,,664,,
665,,,665,,
666,98.11,7,666,98.11,7
667,98.11,8,667,98.11,8
668,,,668,,
669,98.11,9,669,98.11,9
670,,,670,,
671,,,671,,
672,,,672,98.11|99.83|100.24,7|4|51
673,,,673,,
674,98.11|99.83|100.24,7|4|51,674,,
675,,,675,,
676,,,676,,
677,,,677,,
678,,,678,,
679,92.53|100.24,7|5,679,92.53|100.24,7|5
680,100.24,7,680,100.24,7
681,100.24|102.68|103.55|103.96|104.38,20|7|8|10|51,681,100.24|102.68|103.55|103.96|104.38,20|7|8|10|51
682,,,682,,
683,,,683,,
684,96.3,3,684,96.3,3
685,,,685,,
686,,,686,,
687,,,687,,
688,,,688,,
689,,,689,,
690,82.66,58,690,82.66,58
691,,,691,,
692,82.66|93.04,26|15,692,82.66|93.04,26|15
693,,,693,,
694,,,694,,
695,,,695,,
696,93.04,10,696,93.04,10
697,,,697,,
698,90.99,2,698,90.99,2
699,,,699,,
700,,,700,,
701,,,701,,
702,,,702,,
703,,,703,,
704,,,704,,
705,,,705,,
706,,,706,,
707,82.17,87,707,82.17,87
708,82.17,3,708,82.17,3
709,82.17|93.04|94.09|96.18|96.3,9|39|4|4|1,709,82.17|93.04|94.09|96.18|96.3,9|39|4|4|1
710,,,710,,
711,95.91,8,711,95.91,8
712,95.91,10,712,95.91,10
713,,,713,,
714,,,714,,
715,80.48,37,715,80.48,37
716,80.48|95.91,5|2,716,80.48|95.91,5|2
717,,,717,,
718,,,718,,
719,,,719,,
720,,,720,,
721,92.38|95.64,3|6,721,92.38|95.64,3|6
722,,,722,,
723,,,723,,
724,,,724,,
725,,,725,,
726,,,726,,
727,95.64,1,727,95.64,1
728,,,728,,
729,95.64|95.91,51|8,729,95.64|95.91,51|8
730,,,730,,
731,,,731,,
732,,,732,,
733,,,733,,
734,,,734,,
735,,,735,,
736,87.92,4,736,,
737,,,737,76.33,4
738,76.33|87.92|89.67,4|1|2,738,87.92|89.67|95.64,5|3|2
739,89.67|95.64,1|9,739,95.64,7
740,,,740,,
741,,,741,,
742,,,742,,
743,95.64,3,743,95.64,3
744,,,744,,
745,94.68|95.64|95.91,8|22|33,745,94.68|95.64|95.91,8|22|33
746,,,746,,
747,,,747,,
748,,,748,,
749,,,749,,
750,,,750,,
751,94.75,3,751,94.75,3
752,,,752,,
753,94.75|95.05|95.91,69|3|5,753,94.75|95.05|95.91,69|3|5
754,,,754,,
755,,,755,,
756,,,756,,
757,,,757,,
758,80.15,2,758,80.15,2
759,,,759,,
760,80.15,1,760,80.15,1
761,,,761,,
762,80.15,29,762,80.15,29
763,,,763,,
764,80.15,12,764,80.15,12
765,,,765,,
766,80.15,29,766,80.15,29
767,80.15,8,767,80.15,8
768,,,768,,
769,,,769,,
770,,,770,,
771,80.15,3,771,,
772,,,772,80.15,3
773,,,773,,
774,,,774,,
775,80.15|92.44,8|1,775,80.15|92.44,8|1
776,92.44,34,776,92.44,34
777,,,777,,
778,85.24,61,778,85.24,61
779,,,779,,
780,,,780,,
781,,,781,,
782,82.84,2,782,82.84,2
783,,,783,,
784,,,784,,
785,78.52,7,785,78.52,7
786,82.84,15,786,82.84,15
787,82.84,19,787,82.84,19
788,,,788,,
789,,,789,,
790,,,790,,
791,82.84|84.29,56|35,791,82.84|84.29,56|35
792,84.29,45,792,84.29,45
793,,,793,,
794,,,794,,
795,,,795,,
796,,,796,,
797,84.29|85.24|87.28,1|13|33,797,84.29|85.24|87.28,1|13|33
798,,,798,,
799,,,799,87.28,4
800,87.28,4,800,,
801,87.28,6,801,87.28,6
802,87.28,50,802,87.28,50
803,,,803,,
804,85.69,33,804,85.69,33
805,,,805,,
806,85.69|87.28|92.37|92.44,32|1|2|25,806,85.69|87.28|92.37|92.44,32|1|2|25
807,92.77,2,807,92.77,2
808,92.77|93.23,7|3,808,92.77|93.23,7|3
809,93.23,10,809,93.23,10
810,,,810,,
811,,,811,,
812,91.75,4,812,91.75,4
813,91.75,6,813,91.75,6
814,,,814,,
815,,,815,,
816,90.81|92.46,50|5,816,90.81|92.46,50|5
817,,,817,,
818,91.94,4,818,91.94,4
819,91.94,1,819,91.94,1
820,91.94,3,820,91.94,3
821,91.94|92.46|93.23,13|60|11,821,91.94|92.46|93.23,13|60|11
822,93.23|93.76,15|26,822,93.23|93.76,15|26
823,93.76|94.71|95.91,10|1|29,823,93.76|94.71|95.91,10|1|29
824,,,824,,
825,,,825,,
826,,,826,,
827,90.87,8,827,90.87,8
828,,,828,,
829,90.87,4,829,90.87,4
830,,,830,,
831,,,831,,
832,,,832,86.84|88.55|90.87,2|1|1
833,86.84|88.55|89.15|90.87,2|1|2|1,833,,
834,,,834,,
835,,,835,,
836,,,836,,
837,,,837,,
838,81.01|95.91|96.3|97.06|98.03|98.28|99.21|99.38|100.27|100.51,7|4|6|5|6|40|5|6|3|3,838,81.01|89.15|95.91|96.3|97.06|98.03|98.28|99.21|99.38|100.27|100.51,7|2|4|6|5|6|40|5|6|3|1
839,100.51|100.54,7|3,839,100.51|100.54,9|1
840,,,840,,
841,,,841,,
842,92.24,1,842,92.24,1
843,92.24,3,843,92.24,3
844,,,844,,
845,,,845,,
846,89.86,2,846,89.86,2
847,89.86,15,847,89.86,15
848,,,848,,
849,,,849,,
850,,,850,,
851,,,851,,
852,,,852,,
853,,,853,,
854,,,854,,
855,,,855,,
856,89.86,9,856,89.86,9
857,,,857,,
858,,,858,,
859,89.86|89.88|92.24|92.51|92.98,8|2|37|42|6,859,89.86|89.88|92.24|92.51|92.98,8|2|37|42|6
860,,,860,,
861,,,861,,
862,92.98,4,862,92.98,4
863,,,863,,
864,,,864,,
865,,,865,,
866,,,866,,
867,92.98|93.63|95.6|98.78,53|7|2|3,867,92.98|93.63|95.6|98.78,53|7|2|3
868,98.78|98.89,5|3,868,98.78|98.89,5|3
869,,,869,,
870,,,870,98.89,8
871,90.24,8,871,,
872,,,872,,
873,,,873,,
874,,,874,,
875,,,875,,
876,87.02|90.24|95.82|98.89,1|78|10|9,876,,
877,,,877,87.02|90.24|95.82|98.89,1|86|10|1
878,,,878,,
879,91.55|98.89|99.07,8|78|2,879,91.55|98.89|99.07,8|78|2
880,,,880,,
881,,,881,,
882,,,882,,
883,88.75|92.96|99.07,9|75|3,883,88.75|92.96|99.07,9|75|3
884,,,884,,
885,84.5|99.07|99.41|100.04|100.54,8|16|10|2|11,885,84.5|99.07|99.41|100.04|100.54,8|16|10|2|11
886,,,886,,
887,100.42|100.54|100.81|100.85,2|50|17|4,887,100.42|100.54|100.81|100.85,2|52|17|2
888,,,888,,
889,,,889,,
890,,,890,,
891,,,891,,
892,92.64,39,892,92.64,39
893,,,893,,
894,,,894,,
895,,,895,,
896,,,896,,
897,,,897,,
898,,,898,,
899,85.06,3,899,85.06,3
900,85.06,66,900,85.06,66
901,85.06,1,901,,
902,,,902,85.06,1
903,,,903,,
904,,,904,,
905,,,905,,
906,85.06|92.64|92.97,12|27|40,906,85.06|92.64|92.97,12|27|40
907,,,907,,
908,,,908,,
909,,,909,,
910,92.14,7,910,92.14,7
911,,,911,,
912,,,912,90.79|92.97,1|5
913,90.79|92.97,1|5,913,,
914,,,914,,
915,,,915,,
916,78.61,2,916,78.61,2
917,,,917,,
918,,,918,,
919,77.73|78.61,4|24,919,77.73|78.61,4|24
920,78.61,9,920,78.61,9
921,,,921,78.61,10
922,78.61,10,922,,
923,,,923,,
924,,,924,,
925,78.61|85.37|92.97|93.47|93.8|94.95,4|25|11|4|8|4,925,78.61|85.37|92.97|93.47|93.8|94.95,4|25|11|4|8|4
926,94.95|96.89|97.06|99.3,1|10|47|27,926,94.95|96.89|97.06|99.3,1|10|47|27
927,,,927,99.3|99.85|100.85|101.44,5|5|54|32
928,99.3|99.85|100.85|101.44,5|5|52|34,928,,
929,,,929,,
930,101.44,3,930,101.44,3
931,,,931,,
932,,,932,,
933,101.44,5,933,101.44,5
934,,,934,,
935,,,935,,
936,,,936,,
937,96.38,7,937,96.38,7
938,,,938,,
939,,,939,,
940,,,940,,
941,96.38,53,941,96.38,53
942,96.38|97.92|98.48,22|52|12,942,96.38|97.92|98.48,22|52|12
943,,,943,,
944,,,944,,
945,,,945,,
946,,,946,,
947,98.48,8,947,,
948,,,948,98.48,8
949,,,949,,
950,98.48,30,950,98.48,30
951,98.48,20,951,98.48,20
952,,,952,,
953,,,953,,
954,,,954,,
955,81.73,44,955,81.73,44
956,81.73,42,956,81.73,42
957,,,957,,
958,81.73|98.48|99.56|101.44|101.52|101.67,11|25|6|9|5|4,958,81.73|98.48|99.56|101.44|101.52|101.67,11|25|6|11|5|2
959,,,959,,
960,,,960,,
961,,,961,,
962,,,962,84.4,4
963,,,963,,
964,,,964,,
965,84.4|89.67|99.26|101.67|101.97|102.14|102.45|102.73|103.08,24|1|7|3|4|2|6|22|16,965,84.4|89.67|99.26|101.67|101.97|102.14|102.45|102.73|103.08,20|1|7|5|4|2|6|22|18
966,,,966,,
967,99.77|103.08,30|19,967,99.77|103.08,30|19
968,,,968,,
969,,,969,,
970,103.08|103.26,9|10,970,,
971,,,971,103.08|103.26,7|12
972,,,972,,
973,,,973,,
974,,,974,,
975,99.87|103.26,6|10,975,99.87|103.26,6|10
976,,,976,,
977,,,977,,
978,93.09,92,978,93.09,92
979,102.66,4,979,102.66,4
980,102.66|103.26,4|1,980,102.66|103.26,4|1
981,,,981,,
982,,,982,,
